# page-208 (J28-6169) object listing - transcription by blind scan reading
# slot 0 = page head; body pitch 15.2096 px; slots 1 and 2 print nothing.
# field start columns: LOC 0 | OCTAL 7 | CNTRL 25 | offset 40 | mnemonic 49 | operand 56
# no line on this page prints a label in the label/offset field; every line prints a +n offset.

slot 00 | HEAD | col00=DATE col05=10/18/61 col15=TIME col21=2.45 col27=ACCOUNT col55=ID. col59=CT col62=PUBLICATIONS col83=PAGE col89=17
slot 01 | (empty slot - no ink at any threshold)
slot 02 | (empty slot - no ink at any threshold)
slot 03 | LOC 00772 | OCTAL 0535 00 2 01670 | CNTRL 10001 | +40 | LAC | 8L)3,2   [col 56 not settled: 8 favoured, B possible - see report 5.1]
slot 04 | LOC 00773 | OCTAL 7 00000 2 00446 | CNTRL 10010 | +41 | TXL | SYS)294,2,0
slot 05 | LOC 00774 | OCTAL 0560 00 2 00000 | CNTRL 10000 | +42 | LDQ | 2)EMPLOYEE.NUMBER,2
slot 06 | LOC 00775 | OCTAL 4773 00 0 00000 | CNTRL 10000 | +43 | RQL | 0
slot 07 | LOC 00776 | OCTAL 0771 00 0 00022 | CNTRL 10000 | +44 | ARS | 18
slot 08 | LOC 00777 | OCTAL 4763 00 0 00022 | CNTRL 10000 | +45 | LGL | 18
slot 09 | LOC 01000 | OCTAL 0602 00 0 00006 | CNTRL 10001 | +46 | SLW | 3)EMPLOYEE.NUMBER
slot 10 | LOC 01001 | OCTAL 4763 00 0 00022 | CNTRL 10000 | +47 | LGL | 18
slot 11 | LOC 01002 | OCTAL 0560 00 0 00007 | CNTRL 10001 | +48 | LDQ | 3)EMPLOYEE.NUMBER+1
slot 12 | LOC 01003 | OCTAL 4773 00 0 00022 | CNTRL 10000 | +49 | RQL | 18
slot 13 | LOC 01004 | OCTAL 4763 00 0 00022 | CNTRL 10000 | +50 | LGL | 18
slot 14 | LOC 01005 | OCTAL 0602 00 0 00007 | CNTRL 10001 | +51 | SLW | 3)EMPLOYEE.NUMBER+1
slot 15 | LOC 01006 | OCTAL 4500 00 0 01725 | CNTRL 10001 | +52 | CAL | CP)+25
slot 16 | LOC 01007 | OCTAL 0320 00 0 00024 | CNTRL 10001 | +53 | ANS | 4)MONTH
slot 17 | LOC 01010 | OCTAL 0760 00 0 00006 | CNTRL 10000 | +54 | COM | (none)
slot 18 | LOC 01011 | OCTAL 4320 00 2 00001 | CNTRL 10000 | +55 | ANA | 2)MONTH,2
slot 19 | LOC 01012 | OCTAL 4602 00 0 00024 | CNTRL 10001 | +56 | ORS | 4)MONTH
slot 20 | LOC 01013 | OCTAL 4500 00 0 01714 | CNTRL 10001 | +57 | CAL | CP)+16
slot 21 | LOC 01014 | OCTAL 0320 00 0 00024 | CNTRL 10001 | +58 | ANS | 4)DAY
slot 22 | LOC 01015 | OCTAL 4500 00 2 00001 | CNTRL 10000 | +59 | CAL | 2)DAY,2
slot 23 | LOC 01016 | OCTAL 0771 00 0 00006 | CNTRL 10000 | +60 | ARS | 6
slot 24 | LOC 01017 | OCTAL 4320 00 0 01715 | CNTRL 10001 | +61 | ANA | CP)+17
slot 25 | LOC 01020 | OCTAL 4602 00 0 00024 | CNTRL 10001 | +62 | ORS | 4)DAY
slot 26 | LOC 01021 | OCTAL 4500 00 0 00025 | CNTRL 10001 | +63 | CAL | 4)YEAR
slot 27 | LOC 01022 | OCTAL 4765 00 0 00030 | CNTRL 10000 | +64 | LGR | 24
slot 28 | LOC 01023 | OCTAL 4500 00 2 00001 | CNTRL 10000 | +65 | CAL | 2)YEAR,2
slot 29 | LOC 01024 | OCTAL 4763 00 0 00030 | CNTRL 10000 | +66 | LGL | 24
slot 30 | LOC 01025 | OCTAL 0602 00 0 00025 | CNTRL 10001 | +67 | SLW | 4)YEAR
slot 31 | LOC 01026 | OCTAL 4500 00 0 01725 | CNTRL 10001 | +68 | CAL | CP)+25
slot 32 | LOC 01027 | OCTAL 0320 00 0 00020 | CNTRL 10001 | +69 | ANS | 3)DEPARTMENT
slot 33 | LOC 01030 | OCTAL 0760 00 0 00006 | CNTRL 10000 | +70 | COM | (none)
slot 34 | LOC 01031 | OCTAL 4320 00 2 00000 | CNTRL 10000 | +71 | ANA | 2)DEPARTMENT,2
slot 35 | LOC 01032 | OCTAL 4602 00 0 00020 | CNTRL 10001 | +72 | ORS | 3)DEPARTMENT
slot 36 | LOC 01033 | OCTAL 4500 00 0 00020 | CNTRL 10001 | +73 | CAL | 3)EMPLOYEE
slot 37 | LOC 01034 | OCTAL 0560 00 2 00000 | CNTRL 10000 | +74 | LDQ | 2)EMPLOYEE,2
slot 38 | LOC 01035 | OCTAL 4773 00 0 00014 | CNTRL 10000 | +75 | RQL | 12
slot 39 | LOC 01036 | OCTAL 0771 00 0 00022 | CNTRL 10000 | +76 | ARS | 18
slot 40 | LOC 01037 | OCTAL 4763 00 0 00022 | CNTRL 10000 | +77 | LGL | 18
slot 41 | LOC 01040 | OCTAL 0602 00 0 00020 | CNTRL 10001 | +78 | SLW | 3)EMPLOYEE
slot 42 | LOC 01041 | OCTAL 4763 00 0 00006 | CNTRL 10000 | +79 | LGL | 6
slot 43 | LOC 01042 | OCTAL 0560 00 0 00021 | CNTRL 10001 | +80 | LDQ | 3)EMPLOYEE+1
slot 44 | LOC 01043 | OCTAL 4773 00 0 00006 | CNTRL 10000 | +81 | RQL | 6
slot 45 | LOC 01044 | OCTAL 4763 00 0 00036 | CNTRL 10000 | +82 | LGL | 30
slot 46 | LOC 01045 | OCTAL 0602 00 0 00021 | CNTRL 10001 | +83 | SLW | 3)EMPLOYEE+1
slot 47 | LOC 01046 | OCTAL 4500 00 0 01737 | CNTRL 10001 | +84 | CAL | CP)+35
slot 48 | LOC 01047 | OCTAL 0320 00 0 00000 | CNTRL 10001 | +85 | ANS | 3)MONTH
slot 49 | LOC 01050 | OCTAL 4500 00 2 00001 | CNTRL 10000 | +86 | CAL | 2)MONTH,2
slot 50 | LOC 01051 | OCTAL 0771 00 0 00006 | CNTRL 10000 | +87 | ARS | 6
slot 51 | LOC 01052 | OCTAL 4320 00 0 01740 | CNTRL 10001 | +88 | ANA | CP)+36
slot 52 | LOC 01053 | OCTAL 4602 00 0 00000 | CNTRL 10001 | +89 | ORS | 3)MONTH
slot 53 | LOC 01054 | OCTAL 0560 00 0 00000 | CNTRL 10001 | +90 | LDQ | 3)DAY
slot 54 | LOC 01055 | OCTAL 4763 00 0 00030 | CNTRL 10000 | +91 | LGL | 24
slot 55 | LOC 01056 | OCTAL 0560 00 2 00001 | CNTRL 10000 | +92 | LDQ | 2)DAY,2
slot 56 | LOC 01057 | OCTAL 4773 00 0 00014 | CNTRL 10000 | +93 | RQL | 12
slot 57 | LOC 01060 | OCTAL 4765 00 0 00030 | CNTRL 10000 | +94 | LGR | 24

# last content line is slot 57; slots 58 and beyond print nothing.
